"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
"210_cloud",108,6,"S3",1,0.970139122621034,0.040227873171064,0.0506073628958038,97.8016616566438,0.922499639153822,5,657.330999999998,"x4","x3","x5",1,0.999999999996436,0.838014203027718,0.295149673934701,1
"225_puma8NH",8192,9,"S3",1,0.809413892783943,0.106303151803095,0.137191493767131,3641.7095982519,0.654533981099903,12,11037.686,"x3*x3","cos_deg(cos_deg(troot(x2)))","x2*((x3*x3)*sigmoid(x3))",1,1,1,0.00673705326593091,0
"227_cpu_small",8192,13,"S3",1,0.98429660366614,0.0252530381327375,0.0341888014707555,11944.0070425593,0.968787309663083,20,15987.359,"(sin_deg(x10)*x6)*x3","p0(x12)","x6",1,1,1,0.230519031072177,1
"228_elusage",55,3,"S3",1,0.945932683908887,0.0831942422357383,0.11647494056954,26.6386355342164,0.873062802478026,5,449.221999999994,"x1","x1","cos_deg(x1)",0.662608698046274,0.662607063230259,0.334681309597437,0.247939285177505,0
"229_pwLinear",200,11,"S3",1,0.942063301980051,0.0552243740854779,0.0742513560703456,169.265970196947,0.878840439410454,10,799.058999999994,"(x1*x6)*x1","x2","x3",1,1,0.999999999997571,0.0590043406393893,0
"230_machine_cpu",209,7,"S3",1,0.930263189414947,0.0294807877817231,0.0608447525102696,308.133795323248,0.864239633000105,5,665.626999999993,"x4","x3*x3","x2",0.9999999999986,0.999999986289408,0.999959225559728,0.460526636911951,0
"294_satellite_image",6435,37,"S3",1,0.903104629488862,0.118300652345795,0.159705142990054,1768.61666450144,0.815392173685134,26,12687.413,"x3","sin_deg(x23*x23)","x9",1,1,1,0.495801038234992,174
"4544_GeographicalOriginalofMusic",1059,118,"S3",1,0.867291950080979,0.052240912647906,0.0720984773090928,1093.21085202177,0.751923441458695,22,3189.8,"x42","x99","x100",1,1,1,0.263397249089202,988
"485_analcatdata_vehicle",48,5,"S3",1,0.828896962589524,0.106261678633556,0.148075561497323,9.00136848212722,0.68339358716474,4,450.051000000007,"x1","x3","x2",0.999998686229897,0.985250344024102,0.466624373316329,0,0
"503_wind",6574,15,"S3",1,0.888473414480377,0.0540183833193915,0.0710640667571282,5676.18502669652,0.789098100239679,19,10312.367,"x2","sin_deg(x2)","sigmoid(x2)",1,1,1,0.487403396146681,28
"505_tecator",240,125,"S3",1,0.998956982894183,0.00891292594053305,0.011580758128387,536.518151652882,0.997903469571878,44,1137.533,"x123","x124","x52",1,1,0.999999999671868,0.78566953131616,5883
"519_vinnie",380,3,"S3",1,0.84675198964374,0.0807540035352148,0.103380887640058,240.834829668569,0.703209290365331,3,457.203999999998,"x2","x2","x2",0.571430280733186,0.571430280733186,0.571427887706736,0.127748304527852,0
"522_pm10",500,8,"S3",1,0.388353857977612,0.142754765264554,0.181460085371464,128.742246902543,0.137438479998958,6,599.964999999997,"x3","x1","x3*x4",0.996575245098424,0.918284961821337,0.842505359191365,0.159611851945435,0
"523_analcatdata_neavote",100,3,"S3",1,0.989178436165194,0.0448241382643419,0.0674324604830839,54.8799306211775,0.976924739695831,5,423.792000000001,"p0(x1)","x1","x1",0.596183033645552,0.464025550102783,0.464025550102783,0.174165595143352,0
"527_analcatdata_election2000",67,15,"S3",1,1,2.32835605371181e-16,8.23884787314144e-16,1807.2505256974,1,17,473.308999999994,"x3","x7","x4",1,1,1,0.563604691194534,31
"529_pollen",3848,5,"S3",1,0.89574260330122,0.0477929633579692,0.0610643508177213,3876.24136350478,0.801823942101459,4,4736.09000000001,"x1","x2","x3",1,1,1,0.279639616167561,1
