"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S3",17,0.865053716185545,3.10186650057249,5.24377248891692,-977.207893810632,0.728601690449248,15,5151.927,"x9","x9*x6","x10*x13",1,1,1
"S4",17,0.806177376439764,3.78585863262445,7.21121143212451,-974.711353800382,0.486741777898189,17,4262.346,"x13","(x5*(x6*x11))*x6","x1",1,1,1
"S5",17,0.805370791110544,3.65306024795347,7.40408549952333,-970.788631546961,0.458918971161278,19,3867.005,"x11","x9*x6","x9",0.999999999999995,0.999999999996075,0.999999999160712
"S6",17,0.890320760026848,2.88770321208981,4.5890491007736,-968.697980304506,0.792142899050142,15,3650.897,"x6*x9","p0(p0(x13))*x9","x11",1,1,0.999995706523808
"S1",18,0.838602373731215,3.35118329770267,6.6291763099481,-956.745714646634,0.566250890502272,23,5260.488,"x10*x6","x11","x8",1,0.999999999999782,0.999999772545958
"S2",18,0.830664196098726,3.4184740941621,6.64018030714085,-961.212891124181,0.564809705301711,16,4854.588,"x1*sigmoid(x13)","x10*x6","x6*x6",1,1,1
"S3",18,0.8852780321971,2.96209308277993,4.78708168643507,-965.818507918157,0.773816388912254,21,6013.342,"p3(x6)*x9","p0(x13)*x9","x11",1,1,0.999999608795105
"S4",18,0.896350363315699,2.83262684480699,4.48158393496523,-971.865405857442,0.801763999905125,13,4401.568,"x6*x6","x6*(x6*x9)","x6",1,1,1
"S5",18,0.826614314729119,3.66275486450006,7.07098571192486,-966.388645605136,0.506508841497052,20,4209.349,"x6","x10","x6*x10",1,1,1
"S6",18,0.797025181409122,3.86744484016149,7.41288210173195,-971.944539349619,0.457632518702924,15,3746.67,"x6*x10","sigmoid(x13)*x1","x11",1,1,0.999999999999691
"S1",19,0.842840884713422,3.30791633871123,6.14497045268316,-963.660382026796,0.627300290066904,21,5282.726,"x1*exp_dbl(x13)","x10","x1",1,1,0.99999999358723
"S2",19,0.838985192702456,3.48072528421286,6.35763465774607,-966.107230175706,0.601057236421002,17,5649.286,"exp_dbl(x13)*x1","x10","x1",1,0.999999999999998,0.999999995977266
"S3",19,0.876502901756987,2.96546736854818,5.03953392736431,-972.965037086161,0.749331245330736,19,5982.81,"x11","x8","x6*x10",0.99999721557969,0.999995335908593,0.999988248658071
"S4",19,0.901245462931524,2.74715564560289,4.36911548518106,-969.548744076033,0.81158889128566,18,4283.412,"x9*p0(x13)","troot(x6)","x6",1,1,1
"S5",19,0.862225124940114,3.15071401550641,5.46735804358236,-973.329670716695,0.704964355458966,17,4062.679,"x9","x9*(x6*x6)","x6*x6",1,1,1
"S6",19,0.901630062511238,2.66938499383133,4.35624893941967,-976.952298428385,0.812696955681872,16,3724.731,"troot(p0(x13))*(x6*x9)","x7","x1",1,0.999999999999988,0.999999999999979
"S1",20,0.803433829080114,3.90362752039095,7.18915726978929,-973.96596092169,0.48987638877006,21,5164.909,"exp_dbl(x13)*x1","x6*x10","x10",1,0.999999999999993,0.999999961887099
"S2",20,0.886422049088148,2.93846199897624,4.72509027447351,-973.993505481479,0.779636492010991,18,4918.144,"x6*x10","x11","x9",1,0.999999999816359,0.999999077949819
"S3",20,0.869526937968312,3.05775428447488,5.11761639704219,-971.541428299276,0.7415033523779,14,5922.154,"x9*exp_dbl(x13)","x11","x9",1,0.999999999999988,0.999999999999283
"S4",20,0.894912831522356,2.85330866213735,4.49541744759903,-965.340886928853,0.800538302631947,16,3967.59,"x10*p0(x13)","x6*x10","x11",1,1,0.999999999999973
"S5",20,0.894341157563743,2.87841403063346,4.50683609664032,-965.889422763684,0.799523724675745,17,4220.26,"x6","p0(x13)*x10","x10*x6",1,1,1
"S6",20,0.860758361764794,3.21124414637448,5.52935642082134,-978.073237545855,0.698235166438923,14,3742.804,"x6*x10","troot(x13)*x9","x6",1,0.999999999999858,0.999999999999852
"S1",21,0.899197453580163,2.84835453232286,4.41328100695944,-964.427735109084,0.807760504025082,16,4681.143,"x9*troot(x13)","x6*(x6*x9)","x9*x13",0.999999999999989,0.999999999999981,0.999999999999979
